sample_id,description
cps2014_04b,"IPUMS-CPS, April 2014"
cps2014_05b,"IPUMS-CPS, May 2014"
cps2014_06s,"IPUMS-CPS, June 2014"
cps2014_07s,"IPUMS-CPS, July 2014"
cps2014_08s,"IPUMS-CPS, August 2014"
cps2014_09s,"IPUMS-CPS, September 2014"
cps2014_10s,"IPUMS-CPS, October 2014"
cps2014_11s,"IPUMS-CPS, November 2014"
cps2014_12s,"IPUMS-CPS, December 2014"
cps2015_01s,"IPUMS-CPS, January 2015"
cps2015_02s,"IPUMS-CPS, February 2015"
cps2015_03b,"IPUMS-CPS, March 2015"
cps2015_03s,"IPUMS-CPS, ASEC 2015"
cps2015_04b,"IPUMS-CPS, April 2015"
cps2015_05s,"IPUMS-CPS, May 2015"
cps2015_06s,"IPUMS-CPS, June 2015"
cps2015_07s,"IPUMS-CPS, July 2015"
cps2015_08s,"IPUMS-CPS, August 2015"
cps2015_09s,"IPUMS-CPS, September 2015"
cps2015_10s,"IPUMS-CPS, October 2015"
cps2015_11b,"IPUMS-CPS, November 2015"
cps2015_12s,"IPUMS-CPS, December 2015"
cps2016_01s,"IPUMS-CPS, January 2016"
cps2016_02s,"IPUMS-CPS, February 2016"
cps2016_03b,"IPUMS-CPS, March 2016"
cps2016_03s,"IPUMS-CPS, ASEC 2016"
cps2016_04b,"IPUMS-CPS, April 2016"
cps2016_05b,"IPUMS-CPS, May 2016"
cps2016_06s,"IPUMS-CPS, June 2016"
cps2016_07b,"IPUMS-CPS, July 2016"
cps2016_08s,"IPUMS-CPS, August 2016"
cps2016_09s,"IPUMS-CPS, September 2016"
cps2016_10s,"IPUMS-CPS, October 2016"
cps2016_11s,"IPUMS-CPS, November 2016"
cps2016_12s,"IPUMS-CPS, December 2016"
cps2017_01b,"IPUMS-CPS, January 2017"
cps2017_02s,"IPUMS-CPS, February 2017"
cps2017_03b,"IPUMS-CPS, March 2017"
cps2017_03s,"IPUMS-CPS, ASEC 2017"
